date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:10:45	74157/74157	---M--	200	added ('OK')	image/jpeg	etag:%225bb36f76-121ad%22	https://envato.z-projects.net/html/dino/assets/img/blog/2.jpg	C:/Users/ADM/Dev/CSE/ASC_WebSite/envato.z-projects.net/html/dino/assets/img/blog/2.jpg	(from https://envato.z-projects.net/html/dino/landing-startup.html?fbclid=IwAR0V_v60yX3rc9b848ygnSL3amaRAB2gae-7VeFzIDzyJ0ibF8WvptxqzG8)
23:10:45	86659/86659	---MCZ	200	added ('OK')	application/javascript	etag:W/%2259d18fe6-15283%22	https://envato.z-projects.net/html/dino/assets/vendor/jquery/dist/jquery.min.js	C:/Users/ADM/Dev/CSE/ASC_WebSite/envato.z-projects.net/html/dino/assets/vendor/jquery/dist/jquery.min.js	(from https://envato.z-projects.net/html/dino/landing-startup.html?fbclid=IwAR0V_v60yX3rc9b848ygnSL3amaRAB2gae-7VeFzIDzyJ0ibF8WvptxqzG8)
23:10:45	19032/19032	---MCZ	200	added ('OK')	application/javascript	etag:W/%2259d8067e-4a58%22	https://envato.z-projects.net/html/dino/assets/vendor/popper.js/dist/popper.min.js	C:/Users/ADM/Dev/CSE/ASC_WebSite/envato.z-projects.net/html/dino/assets/vendor/popper.js/dist/popper.min.js	(from https://envato.z-projects.net/html/dino/landing-startup.html?fbclid=IwAR0V_v60yX3rc9b848ygnSL3amaRAB2gae-7VeFzIDzyJ0ibF8WvptxqzG8)
23:10:46	51143/51143	---MCZ	200	added ('OK')	application/javascript	etag:W/%2259d18fe6-c7c7%22	https://envato.z-projects.net/html/dino/assets/vendor/bootstrap/dist/js/bootstrap.min.js	C:/Users/ADM/Dev/CSE/ASC_WebSite/envato.z-projects.net/html/dino/assets/vendor/bootstrap/dist/js/bootstrap.min.js	(from https://envato.z-projects.net/html/dino/landing-startup.html?fbclid=IwAR0V_v60yX3rc9b848ygnSL3amaRAB2gae-7VeFzIDzyJ0ibF8WvptxqzG8)
23:10:46	42863/42863	---MCZ	200	added ('OK')	application/javascript	etag:W/%2259d81b7c-a76f%22	https://envato.z-projects.net/html/dino/assets/vendor/slick-carousel/slick/slick.min.js	C:/Users/ADM/Dev/CSE/ASC_WebSite/envato.z-projects.net/html/dino/assets/vendor/slick-carousel/slick/slick.min.js	(from https://envato.z-projects.net/html/dino/landing-startup.html?fbclid=IwAR0V_v60yX3rc9b848ygnSL3amaRAB2gae-7VeFzIDzyJ0ibF8WvptxqzG8)
23:10:46	56753/56753	---MCZ	200	added ('OK')	application/javascript	etag:W/%225a0398c0-ddb1%22	https://envato.z-projects.net/html/dino/assets/vendor/fancybox/dist/jquery.fancybox.min.js	C:/Users/ADM/Dev/CSE/ASC_WebSite/envato.z-projects.net/html/dino/assets/vendor/fancybox/dist/jquery.fancybox.min.js	(from https://envato.z-projects.net/html/dino/landing-startup.html?fbclid=IwAR0V_v60yX3rc9b848ygnSL3amaRAB2gae-7VeFzIDzyJ0ibF8WvptxqzG8)
23:10:46	5559/5559	---MCZ	200	added ('OK')	application/javascript	etag:W/%225a03a2fa-15b7%22	https://envato.z-projects.net/html/dino/assets/vendor/imagesloaded/imagesloaded.pkgd.min.js	C:/Users/ADM/Dev/CSE/ASC_WebSite/envato.z-projects.net/html/dino/assets/vendor/imagesloaded/imagesloaded.pkgd.min.js	(from https://envato.z-projects.net/html/dino/landing-startup.html?fbclid=IwAR0V_v60yX3rc9b848ygnSL3amaRAB2gae-7VeFzIDzyJ0ibF8WvptxqzG8)
23:10:47	35313/35313	---MCZ	200	added ('OK')	application/javascript	etag:W/%2259f956a2-89f1%22	https://envato.z-projects.net/html/dino/assets/vendor/isotope/dist/isotope.pkgd.min.js	C:/Users/ADM/Dev/CSE/ASC_WebSite/envato.z-projects.net/html/dino/assets/vendor/isotope/dist/isotope.pkgd.min.js	(from https://envato.z-projects.net/html/dino/landing-startup.html?fbclid=IwAR0V_v60yX3rc9b848ygnSL3amaRAB2gae-7VeFzIDzyJ0ibF8WvptxqzG8)
23:10:47	6864/6864	---MCZ	200	added ('OK')	application/javascript	etag:W/%225a011da4-1ad0%22	https://envato.z-projects.net/html/dino/assets/vendor/parallax.js/parallax.min.js	C:/Users/ADM/Dev/CSE/ASC_WebSite/envato.z-projects.net/html/dino/assets/vendor/parallax.js/parallax.min.js	(from https://envato.z-projects.net/html/dino/landing-startup.html?fbclid=IwAR0V_v60yX3rc9b848ygnSL3amaRAB2gae-7VeFzIDzyJ0ibF8WvptxqzG8)
23:10:47	8182/8182	---MCZ	200	added ('OK')	application/javascript	etag:W/%2259e576e4-1ff6%22	https://envato.z-projects.net/html/dino/assets/vendor/wow/dist/wow.min.js	C:/Users/ADM/Dev/CSE/ASC_WebSite/envato.z-projects.net/html/dino/assets/vendor/wow/dist/wow.min.js	(from https://envato.z-projects.net/html/dino/landing-startup.html?fbclid=IwAR0V_v60yX3rc9b848ygnSL3amaRAB2gae-7VeFzIDzyJ0ibF8WvptxqzG8)
